T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
27.72013889,46.26805556,74.54236111,197.4680556,5.301388889,998.0166667,0
27.50277778,34.32013889,79.75625,197.9513889,3.572916667,998.8416667,0
28.29166667,37.56736111,64.94305556,174.1951389,3.822222222,998.0840278,0
28.81388889,41.78055556,65.67847222,171.7868056,4.334027778,997.4145833,0
29.07430556,49.04652778,66.00069444,187.23125,5.702083333,997.1416667,0
28.87361111,45.56180556,67.40833333,198.4618056,4.423611111,997.4270833,0
28.77083333,38.19375,70.04097222,184.0229167,4.044444444,997.8479167,0
28.95,41.34444444,68.18611111,179.5680556,4.703472222,997.78125,0
28.26180556,41.16944444,71.69513889,203.5201389,4.863194444,997.475,0
28.31388889,38.42986111,71.97361111,202.6409722,5.354861111,997.0375,0
28.15347222,42.17777778,71.57083333,205.9548611,5.318055556,997.6875,0
27.83888889,41.44027778,74.01180556,200.7215278,5.764583333,997.6104167,0
27.99722222,49.13819444,69.6,202.5611111,6.114583333,996.9743056,0
28.275,48.6875,68.65972222,199.2631944,6.977777778,997.5381944,0
27.88263889,50.03958333,69.325,199.7805556,8.066666667,997.6694444,0
27.47569444,50.25486111,71.13541667,201.375,7.804861111,998.54375,0
27.57708333,39.90347222,71.44097222,197.7694444,6.839583333,999.2743056,0
27.77089252,45.46538907,70.50687545,197.5025073,6.680597853,999.583929,2
27.39444444,28.97361111,69.96041667,196.7694444,6.788194444,998.1791667,2
27.72708333,47.01666667,69.44583333,197.1423611,7.454166667,997.3694444,0
27.79791667,54.225,67.51041667,199.8159722,7.075,997.9402778,0
27.33958333,52.64791667,69.44583333,200.9006944,6.202083333,999.7006944,0
28.26458333,50.91736111,60.47152778,198.5763889,6.174305556,999.0277778,0
28.34027778,50.93819444,63.225,194.5041667,6.798611111,997.9958333,0
28.55069444,50.54027778,71.13472222,196.8423611,7.204861111,997.6277778,0
28.99305556,43.65763889,72.08402778,202.7125,5.381944444,998.5444444,0
27.94027778,28.15138889,74.21388889,184.4520833,3.933333333,998.6868056,18
25.00763889,19.38611111,86.29236111,170.6388889,2.506944444,998.1034722,10
28.09166667,27.64583333,78.12291667,210.1652778,3.695833333,998.4319444,0
28.64027778,46.87569444,71.87986111,206.1118056,5.129861111,998.6034722,0
28.98611111,43.59236111,71.48541667,196.5763889,4.447222222,998.3243056,0
27.15208333,36.42916667,74.41180556,199.9291667,3.707638889,998.4090278,1
